"No.","Time","Source","Destination","Protocol","Length","Info","rtt","loss"
"4422","33.800403866","20.185.212.106","192.168.1.10","TLSv1.2","321","Application Data","0.229012946",""
"4446","33.947275001","13.88.28.53","192.168.1.10","TCP","66","443  >  48087 [FIN, ACK] Seq=1 Ack=2 Win=1028 Len=0 TSval=604154008 TSecr=1693137900","0.237382112",""
"4450","33.971448320","52.114.128.71","192.168.1.10","TCP","74","443  >  40139 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1412 WS=256 SACK_PERM=1 TSval=261453138 TSecr=2896592608","0.261257002",""
"4455","34.018008231","13.75.106.0","192.168.1.10","TCP","54","443  >  46287 [ACK] Seq=6277 Ack=766 Win=2046 Len=0","0.157837459",""
"4457","34.199267877","20.185.212.106","192.168.1.10","TCP","54","443  >  37638 [ACK] Seq=2598 Ack=13205 Win=2051 Len=0","0.285434019",""
"4470","34.223968635","52.114.128.71","192.168.1.10","TCP","74","443  >  49787 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1412 WS=256 SACK_PERM=1 TSval=260521109 TSecr=2896592858","0.263586288",""
"4473","34.240796276","52.114.128.71","192.168.1.10","TCP","2866","443  >  40139 [ACK] Seq=1 Ack=299 Win=263168 Len=2800 TSval=261453402 TSecr=2896592870 [TCP segment of a reassembled PDU]","0.268282603",""
"4492","34.467773955","20.185.212.106","192.168.1.10","TCP","54","443  >  37638 [ACK] Seq=4303 Ack=15855 Win=2051 Len=0","0.222030303",""
"4498","34.525125622","52.114.128.71","192.168.1.10","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message","0.280494188",""
"4510","34.813718197","20.185.212.106","192.168.1.10","TCP","54","443  >  37638 [ACK] Seq=5216 Ack=18505 Win=2051 Len=0","0.254738016",""
"4511","34.813811166","52.114.128.71","192.168.1.10","TCP","66","443  >  40139 [ACK] Seq=4299 Ack=2217 Win=263168 Len=0 TSval=261453954 TSecr=2896593423","0.288229569",""
"4515","35.098786891","52.114.128.71","192.168.1.10","TLSv1.2","493","Application Data","0.284930928",""
"4528","35.408442116","52.114.128.71","192.168.1.10","TCP","66","443  >  40139 [ACK] Seq=4780 Ack=5528 Win=263168 Len=0 TSval=261454532 TSecr=2896594001","0.304753482",""
"4533","35.408738875","52.114.128.71","192.168.1.10","TCP","66","443  >  40139 [ACK] Seq=4780 Ack=8328 Win=263168 Len=0 TSval=261454532 TSecr=2896594001","0.305040936",""
"4535","35.409954450","52.114.128.71","192.168.1.10","TCP","66","[TCP Previous segment not captured] 443  >  40139 [ACK] Seq=4834 Ack=12528 Win=263168 Len=0 TSval=261454532 TSecr=2896594002","0.306000991","â\234\223"
"4536","35.409989713","52.114.128.71","192.168.1.10","TCP","66","443  >  40139 [ACK] Seq=4834 Ack=15328 Win=263168 Len=0 TSval=261454533 TSecr=2896594002","0.305755621",""
"4538","35.419808949","52.114.128.71","192.168.1.10","TCP","66","443  >  40139 [ACK] Seq=4834 Ack=16728 Win=263168 Len=0 TSval=261454587 TSecr=2896594002","0.315166663",""
"4541","35.735448006","52.114.128.71","192.168.1.10","TCP","66","443  >  40139 [ACK] Seq=4834 Ack=19528 Win=263168 Len=0 TSval=261454837 TSecr=2896594306","0.326813134",""
"4542","35.735691826","52.114.128.71","192.168.1.10","TCP","66","443  >  40139 [ACK] Seq=4834 Ack=22328 Win=263168 Len=0 TSval=261454837 TSecr=2896594306","0.327012972",""
"4543","35.735960057","52.114.128.71","192.168.1.10","TCP","66","443  >  40139 [ACK] Seq=4834 Ack=23045 Win=262400 Len=0 TSval=261454892 TSecr=2896594307","0.326955654",""
"4549","36.451966582","40.114.211.99","192.168.1.10","TCP","66","[TCP ACKed unseen segment] 443  >  44306 [ACK] Seq=1 Ack=176 Win=1028 Len=0 TSval=1894813785 TSecr=3439377279","0.189174007",""
